flight_number,timestamp,altitude_baro,ground_speed,air_speed,latitude,longitude,track_angle,roll_angle,emergency,wind_direction,wind_speed,temperature,on_ground,lga_type,origin,destination
SWA1078,7/1/2026 4:00:40 PM,37000,464.1,,36.3124240000,-79.5055390000,55.1800003,,none,,,,F,arrival,LAS,LGA
UAL669,7/1/2026 4:00:40 PM,35000,455.1,,41.5780380000,-81.6940170000,98.5899963,,none,,,,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:40 PM,5300,284.4,251,40.5692050000,-74.0520960000,43.0099983,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:41 PM,5275,283.9,251,40.5701290000,-74.0510860000,42,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:41 PM,5275,283.9,251,40.5705410000,-74.0506590000,42,-15.6400003,none,,,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:42 PM,4325,277.7,250,40.6962430000,-73.9495850000,35.1800003,0,none,286,16,24,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:42 PM,5275,283.5,251,40.5710200000,-74.0500990000,41,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:42 PM,5250,283.5,251,40.5715790000,-74.0495990000,41,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:43 PM,5250,283.2,251,40.5721840000,-74.0489130000,39.9900017,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:43 PM,5225,283.2,251,40.5726030000,-74.0485380000,39.9900017,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:44 PM,5225,283,251,40.5731050000,-74.0480350000,38.9799995,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:44 PM,5200,283,251,40.5736270000,-74.0475390000,38.9799995,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:45 PM,5200,282.9,251,40.5742790000,-74.0469150000,37.9599991,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:45 PM,5200,282.9,251,40.5747990000,-74.0464480000,37.9599991,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:46 PM,5175,281.4,251,40.5752110000,-74.0460210000,36.9099998,-15.6400003,none,,,20,F,arrival,ORD,LGA
SWA4044,7/1/2026 4:00:46 PM,35000,472.5,,41.3313450000,-79.2135620000,97.9100037,,none,,,,F,arrival,MDW,LGA
UAL709,7/1/2026 4:00:46 PM,5175,281.4,251,40.5757600000,-74.0455320000,35.8899994,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL2133,7/1/2026 4:00:47 PM,18000,422.5,296,40.8839720000,-76.0893550000,107.9199982,-0.35,none,293,25,-4,F,arrival,IAH,LGA
UAL709,7/1/2026 4:00:47 PM,5175,281.4,251,40.5762800000,-74.0450430000,35.8899994,-15.6400003,none,,,20,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:47 PM,4225,277.7,250,40.7015990000,-73.9446670000,35.1800003,0,none,286,16,24,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:47 PM,5150,281.4,251,40.5768590000,-74.0446170000,35.8899994,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:48 PM,5150,280.8,251,40.5772710000,-74.0441890000,34.9900017,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:48 PM,5125,280.8,251,40.5778170000,-74.0437320000,34.9900017,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:49 PM,5125,280.7,251,40.5782360000,-74.0433570000,34.2599983,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:49 PM,5125,280.7,251,40.5786550000,-74.0429830000,34.2599983,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL709,7/1/2026 4:00:50 PM,5100,279.8,251,40.5793300000,-74.0424800000,33.6300011,-15.6400003,none,,,20,F,arrival,ORD,LGA
AAL1056,7/1/2026 4:00:50 PM,31800,474.8,278,41.1334530000,-77.4950560000,99.6999969,-0.18,none,303,16,-37,F,arrival,DFW,LGA
SWA1078,7/1/2026 4:00:50 PM,37000,464.1,,36.3249660000,-79.4832230000,55.1800003,,none,,,,F,arrival,LAS,LGA
UAL709,7/1/2026 4:00:50 PM,5100,279.8,251,40.5798650000,-74.0419840000,33.6300011,-15.6400003,none,,,20,F,arrival,ORD,LGA
UAL669,7/1/2026 4:00:50 PM,35000,455.1,,41.5748290000,-81.6657470000,98.5899963,,none,,,,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:51 PM,4175,277.3,250,40.7055360000,-73.9409790000,35.75,8.6099997,none,286,16,24,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:51 PM,5100,279,250,40.5805170000,-74.0414220000,33.0099983,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:51 PM,4150,277.3,250,40.7060850000,-73.9404300000,35.75,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:51 PM,5075,279,250,40.5810700000,-74.0410160000,33.0099983,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:52 PM,4150,278.2,250,40.7065800000,-73.9399230000,36.3800011,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:52 PM,5075,279.3,250,40.5817110000,-74.0404660000,32.7200012,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:52 PM,4150,278.2,250,40.7071390000,-73.9394240000,36.3800011,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:52 PM,5050,279.3,250,40.5822860000,-74.0399860000,32.7200012,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:53 PM,4125,278.4,250,40.7076970000,-73.9388620000,37.1199989,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:53 PM,5050,278.8,250,40.5827050000,-74.0396120000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:53 PM,4125,278.4,250,40.7082370000,-73.9382930000,37.1199989,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:53 PM,5025,278.8,250,40.5833560000,-74.0391120000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:54 PM,4125,278.5,250,40.7086750000,-73.9378630000,38.1500015,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:54 PM,5025,278.8,250,40.5839080000,-74.0386350000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:54 PM,4100,278.5,250,40.7092340000,-73.9372390000,38.1500015,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:54 PM,5025,278.8,250,40.5844570000,-74.0382080000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:55 PM,4100,278.5,250,40.7097920000,-73.9366770000,39.4599991,8.6099997,none,283,14,20,F,arrival,MIA,LGA
UAL709,7/1/2026 4:00:55 PM,5000,278.8,250,40.5850980000,-74.0376590000,32.5499992,-2.46,none,141,163,22,F,arrival,ORD,LGA
AAL1046,7/1/2026 4:00:55 PM,4075,278.5,250,40.7103040000,-73.9360530000,39.4599991,8.6099997,none,283,14,20,F,arrival,MIA,LGA
